,id,job_title,company,gcp,azure,aws,python,scala,java,c#,spark,airflow,hadoop,snowflake,databrick,sap,mysql,cassandra,postgresql,hive,docker
0,0,Data Engineer,theScore,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1,1,Data Engineer Developer,Interac Corp.,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0
2,2,Data Engineer - Azure,Tiger Analytics,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,Data Engineer (Azure),Tiger Analytics,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
4,4,DATA ENGINEER,Epsilon Solutions Ltd.,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,5,Data Engineer,President's Choice Financial,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0
6,6,Data Engineer,President's Choice Financial,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0
7,7,Data Engineer,Randstad Canada,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
8,8,Data Engineer - AWS,Tiger Analytics,0,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0
9,9,Data Engineer,CAMH,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
10,10,Data Engineer,CBI Health,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11,Data Engineer,eTeam,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
12,12,"Data Engineer, Data Platforms",Recursion,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
13,13,Database Engineer,theScore,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14,Data Analyst,ARC Business Solutions Inc.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,15,Data Engineer (Machine Learning),MarkiTech.AI - Experts in Digital Transformation focused on AI / Machine Learning in Health & Telco,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
16,16,Growth Data Engineer,Fivetran,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
