,company,job_title
0,theScore,Data Engineer
1,Interac Corp.,Data Engineer Developer
2,Tiger Analytics,Data Engineer - Azure
3,Tiger Analytics,Data Engineer (Azure)
4,Epsilon Solutions Ltd.,DATA ENGINEER
5,President's Choice Financial,Data Engineer
6,President's Choice Financial,Data Engineer
7,Randstad Canada,Data Engineer
8,Tiger Analytics,Data Engineer - AWS
9,CAMH,Data Engineer
10,CBI Health,Data Engineer
11,eTeam,Data Engineer
12,Recursion,"Data Engineer, Data Platforms"
13,theScore,Database Engineer
14,ARC Business Solutions Inc.,Data Analyst
15,MarkiTech.AI - Experts in Digital Transformation focused on AI / Machine Learning in Health & Telco,Data Engineer (Machine Learning)
16,Fivetran,Growth Data Engineer
17,Momentum Financial Services Group,Data Analyst
18,Fairstone Bank,Data Analyst
19,STACK IT Recruitment Inc.,ETL Data Developer
20,McKinsey & Company,Database Engineer - PriceMetrix
21,Tao Digital Solutions,Data Engineer
22,Keyrus,Data Engineer
23,eTeam,Data Engineer
24,eTeam,Data Engineer
25,Braintrust,Backend + Data Engineer (North America) [Remote]
26,Restaurant Brands International,"Data Engineer, Tim Hortons, Canada"
27,Braintrust,Dovenmuehle Mortgage - Data Engineer - Direct Hire [Remote]
28,TouchBistro,Data Developer II
29,BeachHead,Data Analyst- SQL/Python/PySpark
30,STACK IT Recruitment Inc.,Intermediate ETL data developer
31,Laserfiche,"Software Engineer, Entry-Level"
32,BeachHead,SQL Data Developer
33,Mediabrands,Mediabrands - Data Analyst & Developer roles (General Application)
34,CIBC,ETL Developer
35,Manulife,Quality Engineer - Data Warehousing/ETL
36,Tango,Software Engineer
37,Freshline,Software Engineer
38,BeachHead,Data Analyst – Workday
39,INFINITY SOLUTIONS,Azure Data Engineer - Fulltime
40,Fairstone Bank,Data Analyst-FR
41,Robertson & Company Ltd.,Data Analyst
42,isgSearch,Data Analytics Developer
43,Wiley Edge,Junior Software / DevOps Engineer
44,Manulife,Data Analyst
45,Zortech Solutions,GCP Data Engineer/ Scientist
46,Wiley Edge,Junior DevOps / Software Engineer
47,Boston Consulting Group (BCG),Forward-Deployed Data Engineer
48,Diverse Lynx,Microsoft Data Management (Data Engineer)
49,Emonics LLC,AWS Big Data Developer
50,Zortech Solutions,Data Ingestion Developer
51,Zortech Solutions,Data Ingestion Developer
52,TELUS International,BI Data Engineer
53,Texas Instruments,Software Engineer
